,author,count
449,"Hecht, Ben",3
450,"Fuller, Henry Blake",3
451,"Curtis, George William",3
452,"Lee, Vernon",3
453,"Southey, Robert",3
454,"Nye, Bill",3
455,"Sherwood, M. E. W. (Mary Elizabeth Wilson)",3
456,"Hewlett, Maurice",3
457,"Fletcher, J. S. (Joseph Smith)",3
458,"Lincoln, Natalie Sumner",3
459,"Merrick, Leonard",3
460,"Harrison, Henry Sydnor",3
461,"Blackwood, Algernon",3
462,"O'Brien, Frederick",3
463,"Smith, Mabell S. C. (Mabell Shippie Clarke)",3
464,"Brame, Charlotte M.",3
465,"Malot, Hector",3
466,"Lynd, Robert",3
467,"Dowden, Edward",3
468,"Palmer, Frederick",3
469,"Whitney, A. D. T. (Adeline Dutton Train)",3
470,"Hutchinson, A. S. M. (Arthur Stuart-Menteth)",3
471,"Hough, Emerson",3
472,"Craik, Dinah Maria Mulock",3
473,"Byron, George Gordon Byron, Baron",3
474,"Melville, Herman",3
475,"Black, William",3
476,"Kaye-Smith, Sheila",3
477,"Benson, Robert Hugh",3
478,"Werner, E.",3
479,"Sinclair, Bertrand W.",3
480,"Fraser, William Alexander",3
481,"Mallock, W. H. (William Hurrell)",3
482,"Woodrow, Wilson, Mrs.",3
483,"Wright, Mabel Osgood",3
484,"Laut, Agnes C.",3
485,"Hueston, Ethel",3
486,"Optic, Oliver",3
487,"White, William Allen",3
488,"Montgomery, Frances Trego",3
489,"Seltzer, Charles Alden",3
490,"Read, Opie Percival",3
491,"Stead, Robert J. C.",3
492,"Piper, H. Beam",3
493,"Stein, Evaleen",3
494,"Austin, Anne",3
495,"Griffith, George Chetwynd",3
496,"Bain, F. W. (Francis William)",3
497,"Ford, Sewell",3
498,"Ogden, George W. (George Washington)",3
499,"Reed, Talbot Baines",3
500,"Gwynn, Stephen Lucius",3
501,"Spearman, Frank H. (Frank Hamilton)",3
502,"MacArthur, Ruth Brown",3
503,"Dewar, Douglas",3
504,"McNeile, H. C. (Herman Cyril)",3
505,"Moore, Ward",3
506,"Paine, Ralph Delahaye",3
507,"Tomlinson, H. M. (Henry Major)",3
508,"Higginson, Thomas Wentworth",3
509,"Magruder, Julia",3
510,"Gale, Zona",3
511,"Hughes, Thomas",3
512,"Ingram, Eleanor M. (Eleanor Marie)",3
513,"Mitford, Bertram",3
514,"Dehan, Richard",3
515,"De Morgan, William",3
516,"Kornbluth, C. M. (Cyril M.)",3
517,"Hornibrook, Isabel",3
518,"O'Rell, Max",3
519,"D'Anvers, N.",3
520,"Page, Thomas Nelson",3
521,"Boldrewood, Rolf",3
522,"Comfort, Will Levington",3
523,"Weigall, Arthur E. P. Brome (Arthur Edward Pearse Brome)",3
524,"Graham, Harry",3
525,"Bedford-Jones, H. (Henry)",3
526,"Mahaffy, J. P. (John Pentland)",3
527,"Ewald, Carl",3
528,"Craddock, Charles Egbert",3
529,"Vachell, Horace Annesley",3
530,"Boothby, Guy",3
531,"Freeman, Lewis R. (Lewis Ransome)",3
532,"Stables, Gordon",3
533,"Freud, Sigmund",3
534,"Hay, Ian",3
535,"Kauffman, Reginald Wright",3
