Etext Number,Type,Issued,Title,Language,LoCC,Authors,Opium Keywords,Genres,Themes
5122,Text,2004-02-01,The Trail of the Lonesome Pine,en,PS,"Fox, John, Jr.","['black smoke', 'poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Cumberland Mountains', 'Love stories']"
5124,Text,2004-02-01,"Henrietta's Wish; Or, Domineering",en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Social life and customs', '19th century', 'England']"
5125,Text,2004-02-01,Last Poems: Translations from the Book of Indian Love,en,PR,"Hope, Laurence",['opium'],"['Literature', 'Culture/Civilization/Society', 'Poetry']","['English poetry', 'Love poetry']"
5140,Text,2004-02-01,He Knew He Was Right,en,PR,"Trollope, Anthony",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Married people', 'Psychological fiction', 'Domestic fiction', 'Husbands', 'England', 'Social life and customs', '19th century']"
5141,Text,2004-02-01,What Katy Did at School,en,PZ; PS,"Coolidge, Susan",['heroin'],"[""Children's Literature"", 'School Stories', 'Fiction', 'Teaching & Education', 'Children & Young Adult Reading']","['Sisters', 'Schools', 'Juvenile fiction', 'Boarding schools']"
5142,Text,2004-02-01,Graustark,en,PS,"McCutcheon, George Barr",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Adventure stories', 'Graustark (Imaginary place)', 'Love stories', 'Europe, Eastern', 'Kings and rulers', 'Imaginary places']"
5143,Text,2004-02-01,The Auction Block,en,PS,"Beach, Rex","['heroin', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Movie Books']",['New York (N.Y.)']
5145,Text,2004-02-01,The Heart of the Hills,en,PS,"Fox, John, Jr.",['black smoke'],"['Travel & Geography', 'Fiction', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Mountain life', 'Bildungsromans', 'Environmental protection', 'Cumberland Mountains', 'Kentucky']"
5148,Text,2004-02-01,Rodney Stone,en,PR,"Doyle, Arthur Conan",['laudanum'],"['Historical Fiction', 'Fiction']","['Boxing', 'Boxing stories', 'England']"
5150,Text,2004-02-01,The Ear in the Wall,en,PS,"Reeve, Arthur B. (Arthur Benjamin)","['opium', 'morphine', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery']","['Chemistry teachers', 'Kennedy, Craig (Fictitious character)', 'Detective and mystery stories', 'New York (N.Y.)']"
5151,Text,2004-02-01,The Exploits of Elaine,en,PS,"Reeve, Arthur B. (Arthur Benjamin)","['opium', 'narcotic']","['Fiction', 'Literature', 'Crime/Mystery']","['Chemistry teachers', 'Kennedy, Craig (Fictitious character)', 'Detective and mystery stories', 'New York (N.Y.)']"
5153,Text,2004-02-01,Rung Ho! A Novel,en,PR,"Mundy, Talbot","['opium', 'poppy']","['Fiction', 'Adventure', 'Travel & Geography']",[]
5155,Text,2004-02-01,Cæsar's Column: A Story of the Twentieth Century,en,PS,"Donnelly, Ignatius","['narcotic', 'morphine', 'heroin']","['Fiction', 'Culture/Civilization/Society', 'Science-Fiction & Fantasy']","['Twentieth century', 'Dystopias', 'Social problems', 'New York (N.Y.)']"
5156,Text,2004-02-01,Beechcroft at Rockstone,en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Great Britain', 'Upper class', 'England', 'Social life and customs', '19th century']"
5163,Text,2004-02-01,Guy Garrick,en,PS,"Reeve, Arthur B. (Arthur Benjamin)","['morphine', 'heroin', 'opium', 'codein', 'narcotic']","['Fiction', 'Literature', 'Crime/Mystery']","['Gambling', 'Kidnapping', 'Detective and mystery stories', 'Criminal investigation']"
5165,Text,2004-02-01,Innocent : her fancy and his fact,en,PR,"Corelli, Marie",['heroin'],"['Fiction', 'Literature']",['Love stories']
5166,Text,2004-02-01,The Poetaster,en,PR,"Jonson, Ben",['heroin'],"['Fiction', 'Humour', 'Literature']","['Poets', 'Rome', 'Augustus, 30 B.C.-14 A.D.', 'Drama', 'Satire', 'Comedy plays']"
5172,Text,2004-02-01,Aladdin O'Brien,en,PS,"Morris, Gouverneur","['narcotic', 'laudanum', 'heroin']","['Fiction', 'Literature', 'History']","['20th century', 'Civil War, 1861-1865', 'American fiction']"
5174,Text,2004-02-01,Allan and the Holy Flower,en,PR,"Haggard, H. Rider (Henry Rider)","['laudanum', 'heroin']","['Fiction', 'Adventure', 'Literature', 'Movie Books']","['Hunting guides', 'Quatermain, Allan (Fictitious character)', 'Plant collecting']"
5175,Text,2006-04-22,Pearl-Maiden: A Tale of the Fall of Jerusalem,en,PR,"Haggard, H. Rider (Henry Rider)",['black smoke'],"['Fiction', 'Literature', 'History']",['Jerusalem']
5179,Text,2004-02-01,A Siren,en,PR,"Trollope, Thomas Adolphus","['heroin', 'anodyne']","['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
5198,Text,2004-02-01,The Library,en,PR,"Crabbe, George",['heroin'],"['Literature', 'Poetry']",['Libraries']
5202,Text,2004-03-01,The Golden Lion of Granpere,en,PR,"Trollope, Anthony",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']",['Vosges Mountains (France)']
5204,Text,2004-03-01,"The Inns and Taverns of ""Pickwick""
With Some Observations on Their Other Associations",en,PR,"Matz, B. W. (Bertram Waldrom)",['heroin'],"['Literature', 'Culture/Civilization/Society']","['Dickens, Charles, 1812-1870. Pickwick papers', 'Taverns (Inns)', 'England']"
5209,Text,2004-03-01,Miscellaneous Poems,en,PR,"Crabbe, George",['opium'],"['Literature', 'Poetry']","['English poetry', '19th century']"
5210,Text,2004-03-01,The Borough,en,PR,"Crabbe, George","['opium', 'narcotic', 'heroin']","['Literature', 'Opera', 'Poetry']",['English poetry']
5217,Text,2004-03-01,Tales,en,PR,"Crabbe, George","['poppy', 'heroin']","['Literature', 'Poetry']","['English poetry', '19th century']"
5227,Text,2004-03-01,Sant' Ilario,en,PS,"Crawford, F. Marion (Francis Marion)","['opium', 'narcotic', 'laudanum']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Jealousy', 'Aristocracy (Social class)', 'Conspiracies', 'Love stories', 'Rome (Italy)']"
5230,Text,2004-03-01,The Invisible Man: A Grotesque Romance,en,PR,"Wells, H. G. (Herbert George)","['black smoke', 'opium']","['Fiction', 'Literature', 'Psychiatry/Psychology', 'Movie Books', 'Science-Fiction & Fantasy']","['Scientists', 'Mentally ill', 'Psychological fiction']"
5231,Text,2004-03-01,The Way We Live Now,en,PR,"Trollope, Anthony",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Capitalists and financiers', 'Mate selection', 'London (England)', 'Satire', 'Commercial crimes']"
5232,Text,2004-03-01,Sejanus: His Fall,en,PR,"Jonson, Ben","['poppy', 'heroin']","['Fiction', 'Literature', 'History']","['Rome', 'Tragedies', 'Tiberius, 14-37', 'Drama', 'Sejanus, Lucius Aelius, -31']"
5233,Text,2004-03-01,The Iron Trail,en,PS,"Beach, Rex",['heroin'],"['Fiction', 'Literature', 'Travel & Geography', 'Movie Books']","['Western stories', 'Alaska']"
5235,Text,2004-06-01,The Confessions of Harry Lorrequer — Volume 2,en,PR,"Lever, Charles James",['laudanum'],"['Fiction', 'Literature']",[]
5237,Text,2004-06-01,The Confessions of Harry Lorrequer — Volume 4,en,PR,"Lever, Charles James",['morphine'],"['Fiction', 'Literature']",[]
5238,Text,2004-06-01,The Confessions of Harry Lorrequer — Volume 5,en,PR,"Lever, Charles James",['opium'],"['Fiction', 'Literature']",[]
5240,Text,2004-06-01,The Confessions of Harry Lorrequer — Complete,en,PR,"Lever, Charles James","['opium', 'morphine', 'laudanum']","['Fiction', 'Literature']",[]
5241,Text,2004-03-01,The Eye of Zeitoon,en,PR,"Mundy, Talbot","['black smoke', 'soporific', 'heroin']","['Fiction', 'Adventure']","['Armenia', 'Adventure stories']"
5247,Text,2004-03-01,The Old Wives' Tale,en,PR,"Bennett, Arnold","['black smoke', 'laudanum', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Sisters', 'Women', 'Domestic fiction', 'England']"
5248,Text,2004-03-01,"The ""Dock Rats"" of New York; Or, The Smuggler Band's Last Stand",en,PS,Old Sleuth,['heroin'],"['Fiction', 'Literature', 'Crime/Mystery']",['Smuggling']
5251,Text,2004-03-01,The Long Vacation,en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['Upper class', '19th century', 'England', 'Vacations']"
5253,Text,2004-03-01,The Maid of the Whispering Hills,en,PS,"Roe, Vingie E. (Vingie Eve)",['heroin'],"['Fiction', 'Literature', 'Travel & Geography']","['Northwest, Canadian']"
5256,Text,2004-03-01,The History of the Life of the Late Mr. Jonathan Wild the Great,en,PR,"Fielding, Henry","['poppy', 'laudanum', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery']","['Wild, Jonathan, 1682?-1725', 'Criminals', 'London', 'Organized crime', 'London (England)', 'England', 'Biographical fiction']"
5257,Text,2004-03-01,The Broad Highway,en,PR,"Farnol, Jeffery",['heroin'],"['Fiction', 'Literature', 'Travel & Geography', 'Bestsellers, American, 1895-1923']",['Kent (England)']
5259,Text,2004-03-01,Hildegarde's Neighbors,en,PZ; PS,"Richards, Laura Elizabeth Howe",['heroin'],"['Fiction', 'Children & Young Adult Reading', ""Children's Book Series""]","['Youth', 'Mothers and daughters', 'Neighborhoods', 'Siblings', 'Country life', 'Juvenile fiction', 'Friendship', 'Conduct of life']"
5261,Text,2004-03-01,Constance Dunlap,en,PS,"Reeve, Arthur B. (Arthur Benjamin)","['nepenthe', 'narcotic']","['Fiction', 'Crime/Mystery']","['Criminals', 'Crime', 'Detective and mystery stories']"
5265,Text,2004-03-01,The Ball and the Cross,en,PR,"Chesterton, G. K. (Gilbert Keith)",['heroin'],"['Humour', 'Fiction', 'Culture/Civilization/Society', 'Religion/Spirituality/Paranormal']","['Humorous stories', 'Allegories', 'Christian fiction', 'Male friendship', 'Scotland', 'Catholics', 'Atheists', 'Men']"
5267,Text,2004-03-01,Sister Carrie,en,PS,"Dreiser, Theodore","['opium', 'morphine', 'heroin']","['Fiction', ""Banned Books from Anne Haight's list"", 'Literature', 'Culture/Civilization/Society']","['Young women', 'Mistresses', 'Chicago (Ill.)', 'Didactic fiction', 'New York (N.Y.)']"
5270,Text,2004-03-01,The Film Mystery,en,PS,"Reeve, Arthur B. (Arthur Benjamin)","['opium', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery']","['Chemistry teachers', 'Kennedy, Craig (Fictitious character)', 'Detective and mystery stories', 'New York (N.Y.)']"
5271,Text,2004-03-01,Marjorie's Vacation,en,PZ; PS,"Wells, Carolyn",['heroin'],"['Fiction', 'Children & Young Adult Reading', ""Children's Book Series""]","['Families', ""Children's stories"", 'Farm life', 'Grandmothers', 'Summer', 'Juvenile fiction', 'Girls']"
5274,Text,2004-03-01,The Chaplet of Pearls,en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['heroin'],"['Fiction', 'Historical Fiction', 'Literature', 'History']","[""Saint Bartholomew's Day, Massacre of, France, 1572""]"
5309,Text,2004-03-01,"""Miss Lou""",en,PS,"Roe, Edward Payson",['heroin'],"['US Civil War', 'Literature', 'History', 'Fiction']","['Civil War, 1861-1865']"
5311,Text,2004-03-01,Parnassus on Wheels,en,PS,"Morley, Christopher",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bibliomania']","['Booksellers and bookselling', 'Brooklyn (New York, N.Y.)']"
5315,Text,2004-03-01,Told in the East,en,PR,"Mundy, Talbot",['opium'],"['Fiction', 'Adventure', 'Culture/Civilization/Society']",['British']
5317,Text,2004-03-01,Through the Magic Door,en,PR; Z,"Doyle, Arthur Conan","['heroin', 'anodyne']","['Literature', 'Culture/Civilization/Society']","['Books and reading', 'Great Britain']"
5319,Text,2004-03-01,Pagan Papers,en,PR,"Grahame, Kenneth","['nepenthe', 'poppy']",['Literature'],['Essays']
5320,Text,2004-03-01,Taken Alive,en,PZ; PS,"Roe, Edward Payson",['heroin'],"['US Civil War', 'Literature', 'History', 'Fiction']","['Roe, Edward Payson, 1838-1888', 'Didactic fiction']"
5333,Text,2004-03-01,Every Man in His Humor,en,PR,"Jonson, Ben",['heroin'],"['Fiction', 'Literature']","['Drama', 'London (England)', 'English drama (Comedy)']"
5335,Text,2004-03-01,Raspberry Jam,en,PS,"Wells, Carolyn",['poppy'],"['Fiction', 'Literature', 'Crime/Mystery']",['Detective and mystery stories']
5340,Text,2004-03-01,Further Chronicles of Avonlea,en,PZ; PS,"Montgomery, L. M. (Lucy Maud)",['heroin'],"[""Children's Literature"", 'Fiction', 'Culture/Civilization/Society', 'Canada', 'Children & Young Adult Reading']","['Islands', 'City and town life', 'Orphans', 'Prince Edward Island', 'Country life', 'Shirley, Anne (Fictitious character)']"
5341,Text,2004-03-01,Kilmeny of the Orchard,en,PZ; PS,"Montgomery, L. M. (Lucy Maud)",['heroin'],"[""Children's Literature"", 'Fiction', 'Culture/Civilization/Society', 'Canada', 'Children & Young Adult Reading']","['Teachers', 'Mute persons', 'Prince Edward Island', 'Juvenile fiction']"
5343,Text,2004-03-01,Rainbow Valley,en,PZ; PS,"Montgomery, L. M. (Lucy Maud)",['heroin'],"[""Children's Literature"", 'Fiction', 'Culture/Civilization/Society', 'Canada', 'Children & Young Adult Reading']","['20th century', 'Foster home care', 'Orphans', 'Family life', 'Prince Edward Island', 'Siblings', 'Juvenile fiction', 'Friendship']"
5347,Text,2004-03-01,Understood Betsy,en,PZ; PS,"Fisher, Dorothy Canfield",['heroin'],"[""Children's Literature"", 'Fiction', 'Children & Young Adult Reading']","['Vermont', 'Orphans', 'Self-perception', 'Country life', 'Juvenile fiction']"
5348,Text,2004-10-05,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",en,PZ; PS,"Alger, Horatio, Jr.",['heroin'],"['Fiction', 'Children & Young Adult Reading', ""Children's Fiction""]","['Street children', 'Boys', 'Bildungsromans', 'Shoe shiners', 'Poor children', 'New York (N.Y.)']"
5351,Text,2004-03-01,If I Were King,en,PR,"McCarthy, Justin H. (Justin Huntly)",['poppy'],"['Fiction', 'Literature', 'History']","['Louis XI, 1461-1483', 'Villon, François, 1431-1463']"
5353,Text,2004-03-01,"Guy Mannering, Or, the Astrologer — Volume 01",en,PR,"Scott, Walter",['heroin'],"['History', 'Harvard Classics', 'Fiction', 'Literature', 'Historical Fiction']","['Disinheritance', 'Scotland', 'Inheritance and succession', 'Astrologers']"
5354,Text,2004-03-01,"Guy Mannering, Or, the Astrologer — Volume 02",en,PR,"Scott, Walter",['laudanum'],"['History', 'Harvard Classics', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Historical Fiction']","['Disinheritance', 'Scotland', 'Inheritance and succession', 'Astrologers']"
5355,Text,2004-03-01,"Guy Mannering, Or, the Astrologer — Complete",en,PR,"Scott, Walter","['laudanum', 'heroin']","['History', 'Harvard Classics', 'Fiction', 'Literature', 'Historical Fiction']","['Disinheritance', 'Scotland', 'Inheritance and succession', 'Astrologers']"
5371,Text,2004-10-18,Richard Carvel — Volume 07,en,PS,"Churchill, Winston",['poppy'],"['History', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Revolution, 1775-1783', 'Maryland']"
5373,Text,2004-10-18,Richard Carvel — Complete,en,PS,"Churchill, Winston",['poppy'],"['Fiction', 'Literature', 'History', 'Bestsellers, American, 1895-1923']","['Revolution, 1775-1783', 'Maryland']"
5374,Text,2004-10-19,A Modern Chronicle — Volume 01,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5375,Text,2004-10-19,A Modern Chronicle — Volume 02,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5376,Text,2004-10-19,A Modern Chronicle — Volume 03,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5377,Text,2004-10-19,A Modern Chronicle — Volume 04,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5378,Text,2004-10-19,A Modern Chronicle — Volume 05,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5379,Text,2004-10-19,A Modern Chronicle — Volume 06,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5380,Text,2004-10-19,A Modern Chronicle — Volume 07,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5382,Text,2004-10-19,A Modern Chronicle — Complete,en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['20th century', 'Marriage', 'Women', 'Social conditions', 'Social life and customs']"
5385,Text,2004-10-19,"The Celebrity, Volume 03",en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Authors', 'Authorship', 'Celebrities']"
5387,Text,2004-10-19,"The Celebrity, Complete",en,PS,"Churchill, Winston",['heroin'],"['Fiction', 'Literature']","['Authors', 'Authorship', 'Celebrities']"
5391,Text,2004-10-19,The Crisis — Volume 04,en,PS,"Churchill, Winston","['opium', 'heroin']","['History', 'US Civil War', 'Fiction', 'Literature', 'Bestsellers, American, 1895-1923']","['Civil War, 1861-1865']"
5392,Text,2004-10-19,The Crisis — Volume 05,en,PS,"Churchill, Winston",['black smoke'],"['History', 'US Civil War', 'Fiction', 'Literature', 'Bestsellers, American, 1895-1923']","['Civil War, 1861-1865']"
5395,Text,2004-10-19,The Crisis — Volume 08,en,PS,"Churchill, Winston",['poppy'],"['History', 'US Civil War', 'Fiction', 'Literature', 'Bestsellers, American, 1895-1923']","['Civil War, 1861-1865']"
5396,Text,2004-10-19,The Crisis — Complete,en,PS,"Churchill, Winston","['black smoke', 'opium', 'poppy', 'heroin']","['History', 'US Civil War', 'Fiction', 'Literature', 'Bestsellers, American, 1895-1923']","['Civil War, 1861-1865']"
5400,Text,2004-10-19,Project Gutenberg Complete Works of Winston Churchill,en,PS,"Churchill, Winston","['heroin', 'opium', 'paregoric', 'black smoke', 'poppy']","['Fiction', 'Literature']",['American fiction']
5403,Text,2004-04-01,Short Stories for English Courses,en,PS,,['heroin'],"['Fiction', 'Literature']","['Short stories, American']"
5407,Text,2004-04-01,The Recreations of a Country Parson,en,PR,"Boyd, Andrew Kennedy Hutchison","['heroin', 'anodyne']","['Literature', 'Culture/Civilization/Society', 'Biographies']","['Anecdotes', 'Rural clergy', 'Clergy', 'England', 'Country life']"
5408,Text,2004-04-01,The Rubaiyat of Omar Khayyam Jr.,en,PS,"Irwin, Wallace","['narcotic', 'poppy', 'anodyne']","['Humour', 'Literature', 'Poetry']","['Humorous poetry', 'Parodies, imitations, etc.', 'Omar Khayyam']"
5421,Text,2004-04-01,The Metropolis,en,PS,"Sinclair, Upton",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Upper class', 'Socialites']"
5425,Text,2004-04-01,The Five Books of Youth,en,PS,"Hillyer, Robert",['poppy'],"['Literature', 'Poetry']",[]
5426,Text,2004-04-01,Princess Polly's Playmates,en,PZ; PS,"Brooks, Amy",['heroin'],"['Fiction', 'Children & Young Adult Reading', ""Children's Book Series""]","['Juvenile fiction', 'Friendship', 'Girls']"
5433,Text,2004-04-01,Without a Home,en,PS,"Roe, Edward Payson","['morphine', 'heroin', 'opium', 'laudanum', 'narcotic']","['Fiction', 'Literature', 'Drugs/Alcohol/Pharmacology']",['Opium abuse']
5436,Text,2004-04-01,Hyperion,en,PS,"Longfellow, Henry Wadsworth","['opium', 'poppy', 'heroin']","['Fiction', 'Literature']",['Europe']
5437,Text,2004-04-01,An Original Belle,en,PS,"Roe, Edward Payson",['heroin'],"['US Civil War', 'Literature', 'History', 'Fiction']","['Love stories', 'Civil War, 1861-1865']"
5438,Text,2004-04-01,Glenloch Girls,en,PZ; PS,"Remick, Grace May",['heroin'],"['Fiction', 'Children & Young Adult Reading']","['Friendship', 'Juvenile fiction', 'Children', 'Societies and clubs']"
5601,Text,2004-05-01,Jan of the Windmill: A Story of the Plains,en,PR; PZ,"Ewing, Juliana Horatia",['narcotic'],"[""Children's Literature"", 'Literature', 'Children & Young Adult Reading', 'Fiction']","['Country life', 'Juvenile fiction', 'England', 'Boys']"
5604,Text,2004-05-01,Getting Married,en,PR,"Shaw, Bernard",['heroin'],"['Fiction', 'Literature']","['Marriage', 'Weddings', 'Drama', 'Married people']"
5606,Text,2004-05-01,Guns of the Gods: A Story of Yasmini's Youth,en,PR,"Mundy, Talbot",['heroin'],"['Fiction', 'Adventure', 'Culture/Civilization/Society']",[]
5610,Text,2004-05-01,The Cardinal's Snuff-Box,en,PS,"Harland, Henry","['nepenthe', 'heroin', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['British', 'Widows']"
5622,Text,2004-05-01,At Last: A Novel,en,PS,"Harland, Marion","['laudanum', 'heroin', 'anodyne']","['Fiction', 'Literature']",[]
5625,Text,2004-06-24,Flint and Feather: Collected Verse,en,PS,"Johnson, E. Pauline",['nepenthe'],"['Canada', 'Literature', 'Culture/Civilization/Society', 'Poetry']",[]
5626,Text,2004-05-01,The Motormaniacs,en,PS,"Osbourne, Lloyd",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['20th century', 'Social life and customs']"
5631,Text,2004-05-01,Patty's Suitors,en,PZ; PS,"Wells, Carolyn","['poppy', 'heroin']","['Fiction', 'Children & Young Adult Reading', ""Children's Book Series""]","['Interpersonal attraction', 'Dating (Social customs)', 'Teasing', 'First loves', 'Juvenile fiction']"
5636,Text,2004-05-01,Winding Paths,en,PR,"Page, Gertrude",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Female friendship', 'London (England)']"
5643,Text,2004-05-01,Ranson's Folly,en,PS,"Davis, Richard Harding",['opium'],"['Fiction', 'Literature']",[]
5651,Text,2004-05-01,Dreams and Dream Stories,en,BF; PR,"Kingsford, Anna Bonus",['opium'],"['Religion/Spirituality/Paranormal', 'Philosophy & Ethics', 'Psychiatry/Psychology']",['Dreams']
5654,Text,2004-05-01,What Every Woman Knows,en,PR,"Barrie, J. M. (James Matthew)",['heroin'],"['Fiction', 'Humour', 'Literature', 'Gender & Sexuality Studies']","['Drama', 'Man-woman relationships', 'Comedy plays']"
5658,Text,2006-01-09,Lord Jim,en,PR,"Conrad, Joseph","['black smoke', 'opium']","['Fiction', 'Literature', 'Best Books Ever Listings', 'Psychiatry/Psychology']","['Cowardice', 'Officers', 'Psychological fiction', 'Atonement', 'Indonesia', 'British', 'Merchant marine']"
5660,Text,2004-05-01,Mary Louise,en,PZ; PS,"Baum, L. Frank (Lyman Frank)",['heroin'],"['Crime/Mystery', ""Children's Literature"", 'Fiction', ""Children's Book Series"", 'Fantasy', 'Children & Young Adult Reading']","['Teenage girls', 'Juvenile fiction', 'Detective and mystery stories', 'Burrows, Mary Louise (Fictitious character)']"
5675,Text,2004-05-01,The holiday round,en,PR,"Milne, A. A. (Alan Alexander)","['narcotic', 'heroin']","['Fiction', 'Humour', 'Literature']","['Short stories, English', '20th century', 'Humorous stories, English', 'English fiction']"
5692,Text,2004-06-22,The Innocents Abroad — Volume 05,en,PS,"Twain, Mark",['heroin'],"['Travel & Geography', 'History']","['Middle East', 'Europe', 'Voyages and travels', 'Description and travel']"
5697,Text,2004-05-01,Tales of Chinatown,en,PR,"Rohmer, Sax",['opium'],"['Crime Fiction', 'Crime/Mystery', 'Culture/Civilization/Society', 'Fiction']","['Foreign countries', 'Chinese']"
5698,Text,2004-05-01,Fanny's First Play,en,PR,"Shaw, Bernard",['heroin'],"['Literature', 'Performing Arts/Film']",['English drama']
5699,Text,2004-05-01,The Emancipatrix,en,PS,"Flint, Homer Eon",['poppy'],"['Fiction', 'Science Fiction', 'Literature', 'Science-Fiction & Fantasy']",['Life on other planets']
5700,Text,2004-05-01,Love and Life: An Old Story in Eighteenth Century Costume,en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['narcotic'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['19th century', 'English fiction']"
5703,Text,2004-05-01,The Lord of Death and the Queen of Life,en,PS,"Flint, Homer Eon",['narcotic'],"['Science Fiction', 'Fiction', 'Science-Fiction & Fantasy']","['Mercury (Planet)', 'Venus (Planet)', 'Life on other planets']"
5708,Text,2004-05-01,"Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise",en,PR,"Yonge, Charlotte M. (Charlotte Mary)",['heroin'],"['Fiction', 'Historical Fiction', 'Literature', 'History']",['Fronde']
5709,Text,2004-05-01,La Vendée,en,PR,"Trollope, Anthony",['heroin'],"['Fiction', 'Literature', 'History']","['War stories', 'Vendée (France)', 'Love stories', 'Wars of the Vendée, 1793-1832']"
5719,Text,2004-05-01,Janice Meredith: A Story of the American Revolution,en,PS,"Ford, Paul Leicester","['poppy', 'heroin']","['Fiction', 'Literature', 'History', 'Bestsellers, American, 1895-1923']","['Revolution, 1775-1783']"
5722,Text,2004-05-01,The Shewing-up of Blanco Posnet,en,PR,"Shaw, Bernard",['heroin'],"[""Banned Books from Anne Haight's list"", 'Literature', 'Culture/Civilization/Society']","['West (U.S.)', 'Horse stealing', 'Censorship', 'Drama']"
5723,Text,2004-05-01,Press Cuttings,en,PR,"Shaw, Bernard",['heroin'],"['History', 'One Act Plays', 'Fiction', 'Teaching & Education', 'Literature']","['Women', 'Great Britain', 'Drama']"
5725,Text,2004-05-01,English Literature for Boys and Girls,en,PR,"Marshall, H. E. (Henrietta Elizabeth)","['opium', 'heroin']","['Literature', 'Teaching & Education']","['English literature', 'History and criticism']"
5743,Text,2004-05-01,The Evil Shepherd,en,PR,"Oppenheim, E. Phillips (Edward Phillips)",['opium'],"['Literature', 'Crime/Mystery']",['Detective and mystery stories']
5745,Text,2006-04-22,She and Allan,en,PR,"Haggard, H. Rider (Henry Rider)","['soporific', 'laudanum']","['Fiction', 'Adventure', 'Literature', 'Science-Fiction & Fantasy']","['Immortalism', 'Fantasy fiction', 'Ayesha (Fictitious character : Haggard)', 'Hunting guides', 'Adventure stories', 'Quatermain, Allan (Fictitious character)']"
5751,Text,2004-05-01,"St. George and St. Michael, Volume 2",en,PR,"MacDonald, George",['black smoke'],"['Fiction', 'Literature', 'History']","['Great Britain', 'Civil War, 1642-1649']"
5753,Text,2004-05-01,St. George and St. Michael,en,PR,"MacDonald, George",['black smoke'],"['Fiction', 'Literature', 'History']","['Great Britain', 'Civil War, 1642-1649']"
