,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
8598,35147,A Maid of the Kentucky Hills,"Litsey, Edwin Carlile",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PS ; Kentucky -- Fiction,Public domain in the USA.,1913,Edwin Carlile Litsey,,,1874.0,1970.0,OpenLibrary,True,3
8599,35148,Here and Hereafter,"Pain, Barry",PR,Browsing: Literature; Browsing: Fiction,Fiction ; Short stories ; PR,Public domain in the USA.,1911,Barry Pain,male,"British, English",1864.0,1928.0,"Wikipedia, Wikidata",True,6
8600,35153,Far Off Things,"Machen, Arthur",PR,Browsing: Biographies; Browsing: Literature,"Machen, Arthur, 1863-1947 ; PR",Public domain in the USA.,1922,Arthur Machen,male,"Welsh, English",1863.0,1947.0,Wikipedia,True,7
8601,35162,"Gullible's Travels, Etc.","Lardner, Ring",PS,Opera; Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Literature; Browsing: Fiction,"Husband and wife -- Fiction ; Opera -- Fiction ; Courtship -- Fiction ; Humorous stories, American ; Chicago (Ill.) -- Fiction ; Sisters-in-law -- Fiction ; Voyages and travels -- Fiction ; Bridge players -- Fiction ; PS",Public domain in the USA.,1917,Ring Lardner,male,American,1885.0,1933.0,Wikipedia,True,2
8602,35164,The Secret Battle,"Herbert, A. P. (Alan Patrick)",PR,World War I; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"War stories ; PR ; World War, 1914-1918 -- Fiction",Public domain in the USA.,1919,Alan Patrick Herbert,male,English,1890.0,1971.0,Wikipedia,True,2
8603,35165,"The Crooked Stick; Or, Pollie's Probation","Boldrewood, Rolf",PR,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,Australia -- Fiction ; PR,Public domain in the USA.,1895,Rolf Boldrewood,male,Australia,1826.0,1915.0,"OpenLibrary, Wikidata",True,8
8604,35179,The Three Sapphires,"Fraser, William Alexander",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Love stories ; PS ; Spy stories ; British -- India -- Fiction,Public domain in the USA.,1918,William Alexander Fraser,male,United Kingdom,1859.0,1933.0,"OpenLibrary, Wikidata",True,4
8605,35180,"Sergeant Silk, the Prairie Scout","Leighton, Robert",PZ,Browsing: Children & Young Adult Reading; Browsing: Literature,North West Mounted Police (Canada) -- Juvenile fiction ; Canada -- Juvenile fiction ; PZ,Public domain in the USA.,1929,Robert Leighton,male,United States,1611.0,1684.0,"OpenLibrary, Wikidata",True,2
8606,35186,A Round Dozen,"Coolidge, Susan",PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Religion/Spirituality/Paranormal; Browsing: Fiction,Children's stories ; PZ ; Children -- Conduct of life -- Juvenile fiction ; Christian life -- Juvenile fiction ; Fantasy literature ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1883,Susan Coolidge,female,American,1961.0,2012.0,Wikipedia,True,2
8607,35187,Dream Days,"Grahame, Kenneth",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Siblings -- Fiction ; Country life -- Fiction ; England -- Fiction ; PR,Public domain in the USA.,1895,Kenneth Grahame,male,Scottish,1859.0,1932.0,Wikipedia,True,7
8608,35188,The Fire Bird,"Stratton-Porter, Gene",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,Indians of North America -- Poetry ; PS ; American poetry,Public domain in the USA.,1926,Gene Stratton-Porter,female,American,1863.0,1924.0,Wikipedia,True,3
8609,35196,Gwen Wynn: A Romance of the Wye,"Reid, Mayne",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Conduct of life -- Juvenile fiction ; Jealousy -- Juvenile fiction ; Voyages and travels -- Juvenile fiction ; Strangers -- Juvenile fiction ; PZ ; Heroes -- Juvenile fiction ; Murder -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Abduction -- Juvenile fiction ; Suicide -- Juvenile fiction ; Adventure and adventurers -- Juvenile fiction ; Kidnapping victims -- Juvenile fiction ; Cats -- Juvenile fiction,Public domain in the USA.,1877,Mayne Reid,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,4
8610,35197,"The Bandolero; Or, A Marriage among the Mountains","Reid, Mayne",PR,Browsing: History - General; Browsing: Literature; Browsing: Fiction,Mexico -- History -- 19th century -- Fiction ; PR,Public domain in the USA.,1876,Mayne Reid,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,4
8611,35198,What Not: A Prophetic Comedy,"Macaulay, Rose",PR,Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Satire ; Bureaucracy -- Fiction ; Science fiction ; England -- Fiction ; PR,Public domain in the USA.,1918,Rose Macaulay,female,English,1881.0,1958.0,"Wikipedia, OpenLibrary",True,6
8612,35203,"In the Van; or, The Builders","Price-Brown, John",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1900,John Price-Brown,,,1844.0,1938.0,OpenLibrary,True,1
8613,35205,Who?,"Kent, Elizabeth",PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Love stories ; Fiction ; Detective and mystery stories ; PR,Public domain in the USA.,1912,Elizabeth Kent,female,United Kingdom of Great Britain and Ireland,1875.0,1947.0,"OpenLibrary, Wikidata",True,2
8614,35213,"Afloat in the Forest; Or, A Voyage among the Tree-Tops","Reid, Mayne",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Orphans -- Juvenile fiction ; Ship captains -- Juvenile fiction ; Voyages and travels -- Juvenile fiction ; Castaways -- Juvenile fiction ; Storms -- Juvenile fiction ; Ants -- Juvenile fiction ; PZ ; Brothers -- Juvenile fiction ; Snakes -- Juvenile fiction ; Forest animals -- Juvenile fiction ; Mines and mineral resources -- Juvenile fiction ; Natural history -- Juvenile fiction ; Birds -- Juvenile fiction ; Adventure and adventurers -- Juvenile fiction ; South America -- Juvenile fiction,Public domain in the USA.,1867,Mayne Reid,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,4
8615,35215,The French Revolution,"Belloc, Hilaire",DC,Browsing: History - European; Browsing: History - General,"France -- History -- Revolution, 1789-1799 ; France -- History -- Revolution, 1789-1799 -- Causes ; DC",Public domain in the USA.,1911,Hilaire Belloc,male,"French, English",1870.0,1953.0,Wikipedia,True,10
8616,35218,The Setons,"Douglas, O.",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Glasgow (Scotland) -- Social life and customs -- 20th century -- Fiction ; Families -- Fiction ; PR ; Clergy -- Fiction,Public domain in the USA.,1900,O. Douglas,female,Scottish,1877.0,1948.0,OpenLibrary,True,1
8617,35224,"Sketches in Canada, and rambles among the red men","Jameson, Mrs. (Anna)",F1001,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography,Ontario -- Description and travel ; F1001 ; Indians of North America -- Canada,Public domain in the USA.,1979,Anna Jameson,female,"Irish, English, Anglo-Irish",1794.0,1860.0,Wikipedia,True,1
8618,35227,A Selection from the Poems of William Morris,"Morris, William",PR,Browsing: Literature; Browsing: Poetry,English poetry -- 19th century ; PR,Public domain in the USA.,1867,William Morris,male,"English, British",1834.0,1896.0,Wikipedia,True,10
8619,35233,"The Streets of Ascalon: Episodes in the Unfinished Career of Richard Quarren, Esqre.","Chambers, Robert W. (Robert William)",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1844,Robert William Chambers,male,American,1865.0,1933.0,Wikipedia,True,32
8620,35238,The Grandchildren of the Ghetto,"Zangwill, Israel",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Jews -- England -- London -- Fiction ; PR,Public domain in the USA.,1903,Israel Zangwill,male,British,1864.0,1926.0,Wikipedia,True,10
8621,35239,Oldfield: A Kentucky Tale of the Last Century,"Banks, Nancy Huston",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PS ; Kentucky -- Fiction,Public domain in the USA.,1902,Nancy Huston Banks,female,American,1849.0,1934.0,"Wikipedia, Wikidata",True,2
8622,35240,A Woman's Burden: A Novel,"Hume, Fergus",PR,Browsing: Literature; Browsing: Fiction,Criminals -- Fiction ; London (England) -- Fiction ; Siblings -- Fiction ; Inheritance and succession -- Fiction ; PR,Public domain in the USA.,1900,Fergus Hume,male,English,1859.0,1932.0,"Wikipedia, OpenLibrary",True,31
8623,35243,Right off the Bat: Baseball Ballads,"Kirk, William Frederick",PS,Browsing: Humour; Browsing: Poetry; Browsing: Sports/Hobbies/Motoring,Baseball -- Humor ; PS ; Baseball -- Poetry,Public domain in the USA.,1911,William Frederick Kirk,male,American,1877.0,1927.0,"Wikipedia, OpenLibrary, Wikidata",True,2
8624,35247,That Affair at Elizabeth,"Stevenson, Burton Egbert",PS,Detective Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Love stories ; Fiction ; Detective and mystery stories ; PS,Public domain in the USA.,1907,Burton Egbert Stevenson,male,American,1872.0,1962.0,Wikipedia,True,11
8625,35254,In the Onyx Lobby,"Wells, Carolyn",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Fiction ; Detective and mystery stories ; PS,Public domain in the USA.,1920,Carolyn Wells,female,American,1862.0,1942.0,Wikipedia,True,9
8626,35259,Menotah: A Tale of the Riel Rebellion,"Trevena, John",PR,Browsing: History - General; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"Riel Rebellion, 1885 -- Fiction ; PR",Public domain in the USA.,1897,John Trevena,male,,1870.0,1946.0,"OpenLibrary, Wikidata",True,4
8627,35277,The Childerbridge Mystery,"Boothby, Guy",PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Detective and mystery stories ; Love stories ; England -- Fiction ; PR,Public domain in the USA.,1902,Guy Boothby,male,Australian,1868.0,1905.0,"Wikipedia, OpenLibrary",True,12
8628,35281,The Joyous Story of Toto,"Richards, Laura Elizabeth Howe",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Blindness -- Juvenile fiction ; Grandmothers -- Juvenile fiction ; PZ ; Animals -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Friendship -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1885,Laura Elizabeth Howe Richards,female,American,1850.0,1943.0,Wikipedia,True,8
8629,35282,Fräulein Schmidt and Mr. Anstruther,"Von Arnim, Elizabeth",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Germany -- Fiction ; Love stories ; British -- Germany -- Fiction ; Young women -- Fiction ; Epistolary fiction ; PR,Public domain in the USA.,1907,Elizabeth Von Arnim,female,"Australian, English, German, New Zealand",1866.0,1941.0,Wikipedia,True,9
8630,35295,The Maroon,"Reid, Mayne",PR; PZ,Browsing: Culture/Civilization/Society; Browsing: Fiction,Jamaica -- Fiction ; PR ; Plantation life -- Fiction ; PZ,Public domain in the USA.,1862,Mayne Reid,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,4
8631,35300,Louisiana,"Burnett, Frances Hodgson",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Louisiana -- Fiction ; PS,Public domain in the USA.,1880,Frances Hodgson Burnett,female,British-American,1849.0,1924.0,"Wikipedia, OpenLibrary",True,16
8632,35302,The Genial Idiot: His Views and Reviews,"Bangs, John Kendrick",PS,Humor; Browsing: Humour; Browsing: Literature; Browsing: Fiction,Conversation -- Fiction ; PS ; Humorous stories ; Boardinghouses -- Fiction,Public domain in the USA.,1908,John Kendrick Bangs,male,American,1862.0,1922.0,"Wikipedia, OpenLibrary, Wikidata",True,23
8633,35305,Mr Punch's Pocket Ibsen - A Collection of Some of the Master's Best Known Dramas,"Anstey, F.",PR,Browsing: Literature,"Ibsen, Henrik, 1828-1906 -- Parodies, imitations, etc. ; PR",Public domain in the USA.,1893,F. Anstey,male,English,1856.0,1934.0,Wikipedia,True,13
8634,35313,A Practical Novelist,"Davidson, John",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1897,John Davidson,male,United States,1886.0,1797.0,"OpenLibrary, Wikidata",True,1
8635,35326,The Long Lane's Turning,"Rives, Hallie Erminie",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1917,Hallie Erminie Rives,female,American,1874.0,1956.0,"Wikipedia, OpenLibrary, Wikidata",True,8
8636,35335,The Sherrods,"McCutcheon, George Barr",PS,Browsing: Literature; Browsing: Fiction,Bigamy -- Fiction ; PS,Public domain in the USA.,1903,George Barr McCutcheon,male,American,1866.0,1928.0,Wikipedia,True,30
8637,35336,The Lady Evelyn: A Story of To-day,"Pemberton, Max",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1906,Max Pemberton,male,English,1863.0,1950.0,"Wikipedia, OpenLibrary",True,8
8638,35338,Marriage,"Wells, H. G. (Herbert George)",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Love stories, English ; London (England) -- Fiction ; PR ; Labrador (N.L.) -- Fiction",Public domain in the USA.,1910,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
8639,35356,Betty Grier,"Waugh, Joseph Laing",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PR ; Scotland -- Fiction,Public domain in the USA.,1915,Joseph Laing Waugh,male,Scottish,1868.0,1928.0,"Wikipedia, Wikidata",True,1
8640,35358,A Song of a Single Note: A Love Story,"Barr, Amelia E.",PS,Browsing: Literature; Browsing: Fiction,Fiction ; Love stories ; PS,Public domain in the USA.,1926,Amelia E. Barr,female,English,1831.0,1919.0,Wikipedia,True,20
8641,35361,The Wicked Marquis,"Oppenheim, E. Phillips (Edward Phillips)",PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Fiction ; Detective and mystery stories ; PR,Public domain in the USA.,1919,Edward Phillips Oppenheim,male,English,1866.0,1946.0,Wikipedia,True,45
8642,35364,Ethel Morton at Sweetbrier Lodge,"Smith, Mabell S. C. (Mabell Shippie Clarke)",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Families -- Juvenile fiction ; Farm life -- Juvenile fiction ; Furniture making -- Juvenile fiction ; PZ ; Concrete -- Juvenile fiction ; Gardening -- Juvenile fiction,Public domain in the USA.,1789,Mabell Shippie Clarke Smith,female,,1864.0,1942.0,"OpenLibrary, Wikidata",True,1
8643,35365,Philip Massinger,"Cruickshank, Alfred Hamilton",PR,Browsing: History - General; Browsing: Literature,"PR ; Massinger, Philip, 1583-1640 -- Criticism and interpretation",Public domain in the USA.,1890,Alfred Hamilton Cruickshank,male,,1862.0,1927.0,"OpenLibrary, Wikidata",True,1
8644,35367,Mad: A Story of Dust and Ashes,"Fenn, George Manville",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1868,George Manville Fenn,male,English,1831.0,1909.0,Wikipedia,True,33
8645,35370,The Vicar's People,"Fenn, George Manville",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Cornwall (England : County) -- Fiction ; PR,Public domain in the USA.,1881,George Manville Fenn,male,English,1831.0,1909.0,Wikipedia,True,33
8646,35374,The Dreamers: A Club,"Bangs, John Kendrick",PS,Humor; Browsing: Humour; Browsing: Literature; Browsing: Fiction,"PS ; Literature -- Societies, etc. -- Fiction",Public domain in the USA.,1894,John Kendrick Bangs,male,American,1862.0,1922.0,"Wikipedia, OpenLibrary, Wikidata",True,23
8647,35377,"A Wonder Book and Tanglewood Tales, for Girls and Boys","Hawthorne, Nathaniel",BL; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Religion/Spirituality/Paranormal,"BL ; Mythology, Greek ; Mythology, Greek -- Juvenile literature ; PZ",Public domain in the USA.,1937,Nathaniel Hawthorne,male,American,1804.0,1864.0,Wikipedia,True,4
8648,35378,The Strength of the Pines,"Marshall, Edison",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Oregon -- Fiction ; Vendetta -- Fiction ; PS,Public domain in the USA.,1920,Edison Marshall,male,American,1894.0,1967.0,"Wikipedia, Wikidata",True,2
8649,35388,The Master of the Inn,"Herrick, Robert",PS,Browsing: Literature; Browsing: Fiction,PS ; Healers -- Fiction,Public domain in the USA.,1908,Robert Herrick,male,English,1591.0,1674.0,Wikipedia,True,11
8650,35389,Why Marry?,"Williams, Jesse Lynch",PS,Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction,Marriage -- Drama ; American drama -- 20th century ; PS,Public domain in the USA.,1979,Jesse Lynch Williams,male,American,1871.0,1929.0,"Wikipedia, OpenLibrary",True,1
8651,35393,The Revellers,"Tracy, Louis",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Love stories ; Young men -- Fiction ; Yorkshire (England) -- Fiction ; Boys -- Fiction ; Villages -- England -- Fiction ; Spy stories ; PR ; Identity -- Fiction,Public domain in the USA.,1904,Louis Tracy,male,British,1863.0,1928.0,"Wikipedia, OpenLibrary",True,19
8652,35394,The Bridling of Pegasus: Prose Papers on Poetry,"Austin, Alfred",PN,Browsing: Literature; Browsing: Poetry,PN ; Poetry,Public domain in the USA.,1910,Alfred Austin,male,English,1835.0,1913.0,Wikipedia,True,1
8653,35402,Poems & Ballads (First Series),"Swinburne, Algernon Charles",PR,Banned Books from Anne Haight's list; Browsing: Literature; Browsing: Poetry,"Ballads, English ; English poetry ; PR",Public domain in the USA.,1900,Algernon Charles Swinburne,male,English,1837.0,1909.0,Wikipedia,True,11
8654,35403,"From Bapaume to Passchendaele, 1917","Gibbs, Philip",D501,Browsing: History - General; Browsing: History - Warfare,"World War, 1914-1918 -- Campaigns -- Western Front ; World War, 1914-1918 -- Personal narratives ; D501",Public domain in the USA.,1917,Philip Gibbs,male,"English, British",1877.0,1962.0,Wikipedia,True,3
8655,35414,The Little Vanities of Mrs. Whittaker: A Novel,"Winter, John Strange",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,England -- Social life and customs -- Fiction ; Married women -- Fiction ; PR ; Domestic fiction,Public domain in the USA.,1906,John Strange Winter,female,British,1856.0,1911.0,Wikipedia,True,1
8656,35423,The Storm Centre: A Novel,"Craddock, Charles Egbert",PS,Browsing: History - American; Browsing: Literature; Browsing: Fiction,"PS ; United States -- History -- Civil War, 1861-1865 -- Fiction",Public domain in the USA.,1905,Charles Egbert Craddock,female,American,1850.0,1922.0,Wikipedia,True,28
8657,35424,The Amethyst Box,"Green, Anna Katharine",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Fiction ; Detective and mystery stories ; PS,Public domain in the USA.,1913,Anna Katharine Green,female,American,1846.0,1935.0,Wikipedia,True,32
8658,35431,A Modern Buccaneer,"Boldrewood, Rolf",PR,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,Sea stories ; Oceania -- Fiction ; PR ; South Pacific Ocean -- Fiction,Public domain in the USA.,1789,Rolf Boldrewood,male,Australia,1826.0,1915.0,"OpenLibrary, Wikidata",True,8
8659,35440,A Little Book of Profitable Tales,"Field, Eugene",PS,Browsing: Literature; Browsing: Fiction,"American fiction ; Short stories, American ; PS",Public domain in the USA.,1889,Eugene Field,male,American,1850.0,1895.0,Wikipedia,True,8
8660,35443,Lost Lenore: The Adventures of a Rolling Stone,"Reid, Mayne",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Adventure stories ; Fiction ; Dime novels ; PR,Public domain in the USA.,1864,Mayne Reid,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,4
8661,35447,Comrades: A Story of Social Adventure in California,"Dixon, Thomas, Jr.",PS,Browsing: Culture/Civilization/Society; Browsing: Politics; Browsing: Fiction,PS ; California -- Fiction ; Socialism -- Fiction,Public domain in the USA.,1844,"Thomas, Jr. Dixon",male,American,1864.0,1946.0,Wikipedia,True,9
8662,35448,"Herd Record of the Association of Breeders of Thorough-Bred Neat Stock
Short Horns, Ayrshires and Devons",Various,SF,Animals-Domestic; Browsing: Nature/Gardening/Animals; Browsing: Science - Earth/Agricultural/Farming,Cattle -- Pedigrees -- Periodicals ; Cattle ; SF,Public domain in the USA.,1913,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
8663,35461,A Short History of the World,"Wells, H. G. (Herbert George)",D,Browsing: History - European; Browsing: History - General,World history ; D,Public domain in the USA.,1922,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
8664,35463,The High Heart,"King, Basil",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Love stories ; PS ; Young women -- Fiction ; Governesses -- Fiction,Public domain in the USA.,1917,Basil King,male,Canadian,1859.0,1928.0,Wikipedia,True,7
8665,35467,"The Tenants of Malory, Volume 1","Le Fanu, Joseph Sheridan",PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Mystery fiction ; PR,Public domain in the USA.,1896,Joseph Sheridan Le Fanu,male,Irish,1814.0,1873.0,Wikipedia,True,6
8666,35472,Euripides and His Age,"Murray, Gilbert",PA,Browsing: History - General; Browsing: Literature,"Euripides -- Criticism and interpretation ; Tragedy ; Mythology, Greek, in literature ; PA",Public domain in the USA.,1979,Gilbert Murray,male,"Australian, British",1866.0,1957.0,Wikipedia,True,2
8667,35473,"Encyclopaedia Britannica, 11th Edition, ""Ethiopia"" to ""Evangelical Association""
Volume 9, Slice 8",Various,AE,Browsing: Encyclopedias/Dictionaries/Reference,AE ; Encyclopedias and dictionaries,Public domain in the USA.,1906,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
8668,35475,Songs of the Prairie,"Stead, Robert J. C.",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,Prairie Provinces -- Poetry ; Canadian poetry ; PS,Public domain in the USA.,1911,Robert J. C. Stead,,Canadian,1880.0,1959.0,Wikipedia,True,5
8669,35478,Neighbours,"Stead, Robert J. C.",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Saskatchewan -- Fiction ; PS ; Canadian fiction,Public domain in the USA.,1922,Robert J. C. Stead,,Canadian,1880.0,1959.0,Wikipedia,True,5
8670,35480,"The Dusantes
A Sequel to ""The Casting Away of Mrs. Lecks and Mrs. Aleshine""","Stockton, Frank R.",PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,Travel -- Fiction ; American fiction -- 19th century ; PS ; Friendship -- Fiction,Public domain in the USA.,1888,Frank R. Stockton,male,American,1834.0,1902.0,"Wikipedia, Wikidata",True,18
8671,35484,The Black Eagle Mystery,"Bonner, Geraldine",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,American fiction -- 20th century ; Detective and mystery stories ; PS,Public domain in the USA.,1916,Geraldine Bonner,female,American,1870.0,1930.0,"Wikipedia, OpenLibrary, Wikidata",True,10
8672,35485,The Doctor's Wife: A Novel,"Braddon, M. E. (Mary Elizabeth)",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Adultery -- Fiction ; Physicians' spouses -- Fiction ; Middle class -- Fiction ; Great Britain -- Fiction ; PR,Public domain in the USA.,1864,Mary Elizabeth Braddon,female,English,1835.0,1915.0,Wikipedia,True,13
8673,35488,The Road to Paris: A Story of Adventure,"Stephens, Robert Neilson",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Fiction,"Adventure stories ; United States -- History -- Revolution, 1775-1783 -- Fiction ; Historical fiction ; PS",Public domain in the USA.,1789,Robert Neilson Stephens,male,American,1867.0,1906.0,"Wikipedia, OpenLibrary",True,4
8674,35489,Famous Men of Science,"Bolton, Sarah Knowles",Q,Browsing: Biographies; Browsing: Science - General,Q ; Scientists -- Biography,Public domain in the USA.,1979,Sarah Knowles Bolton,female,American,1841.0,1916.0,Wikipedia,True,1
8675,35496,Settling Day,"Gould, Nat",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Australia -- Fiction ; PR,Public domain in the USA.,1906,Nat Gould,male,British,1857.0,1919.0,Wikipedia,True,4
8676,35497,Three Sunsets and Other Poems,"Carroll, Lewis",PR,Browsing: Literature; Browsing: Poetry,Poetry ; PR,Public domain in the USA.,1779,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
8677,35500,Nuts and Nutcrackers,"Lever, Charles James",PR,Browsing: Literature,PR ; Essays,Public domain in the USA.,1845,Charles James Lever,male,Irish,1806.0,1872.0,Wikipedia,True,2
8678,35502,The Basket Woman: A Book of Indian Tales for Children,"Austin, Mary",PZ,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature,Indians of North America -- Juvenile fiction ; PZ,Public domain in the USA.,1904,Mary Austin,female,United States,1868.0,1934.0,"OpenLibrary, Wikidata",True,4
8679,35503,The Girl at Central,"Bonner, Geraldine",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Telephone operators -- Fiction ; New Jersey -- Fiction ; Young women -- Fiction ; PS ; Detective and mystery stories,Public domain in the USA.,1915,Geraldine Bonner,female,American,1870.0,1930.0,"Wikipedia, OpenLibrary, Wikidata",True,10
8680,35504,"Miss Maitland, Private Secretary","Bonner, Geraldine",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Social secretaries -- Fiction ; Love stories ; Young women -- Fiction ; PS ; Detective and mystery stories,Public domain in the USA.,1919,Geraldine Bonner,female,American,1870.0,1930.0,"Wikipedia, OpenLibrary, Wikidata",True,10
8681,35505,Anna of the Five Towns,"Bennett, Arnold",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Pottery industry -- Fiction ; Staffordshire (England) -- Fiction ; Stoke-on-Trent (England) -- Fiction ; Women -- England -- Fiction ; PR,Public domain in the USA.,1902,Arnold Bennett,male,"English, British",1867.0,1931.0,Wikipedia,True,31
8682,35509,The Golden Road,"Allen, Frank Waller",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1910,Frank Waller Allen,,,1878.0,,OpenLibrary,True,1
8683,35512,A Daughter of the Vine,"Atherton, Gertrude Franklin Horn",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PS ; California -- Fiction,Public domain in the USA.,1899,Gertrude Franklin Horn Atherton,female,American,1857.0,1948.0,Wikipedia,True,19
8684,35513,The Ledge on Bald Face,"Roberts, Charles G. D., Sir",QL,Browsing: Nature/Gardening/Animals; Browsing: Science - General,Animals -- Anecdotes ; QL,Public domain in the USA.,1919,"Charles G. D., Roberts",male,Canadian,1860.0,1943.0,Wikipedia,True,10
8685,35515,"Arthur Machen: A Novelist of Ecstasy and Sin
With Two Uncollected Poems by Arthur Machen","Starrett, Vincent",PR,Browsing: Literature; Browsing: Poetry,"Machen, Arthur, 1863-1947 ; Poetry ; PR",Public domain in the USA.,1918,Vincent Starrett,male,"American, Canadian",1886.0,1974.0,"Wikipedia, OpenLibrary",True,2
8686,35517,"The Three Impostors; or, The Transmutations","Machen, Arthur",PR,Browsing: Literature; Browsing: Fiction,"Fiction ; PR ; Horror tales, English",Public domain in the USA.,1895,Arthur Machen,male,"Welsh, English",1863.0,1947.0,Wikipedia,True,7
8687,35518,The Ice Pilot,"Leverage, Henry",PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,Sea stories ; Arctic regions -- Fiction ; PS,Public domain in the USA.,1921,Henry Leverage,male,American,1885.0,1931.0,"Wikipedia, OpenLibrary, Wikidata",True,2
