,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
12640,59853,"A Young Hero; Or, Fighting to Win","Ellis, Edward Sylvester",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Hares -- Juvenile fiction ; Kindness -- Juvenile fiction ; Circus -- Juvenile fiction ; Widows -- Juvenile fiction ; Twins -- Juvenile fiction ; Courage -- Juvenile fiction ; Students -- Juvenile fiction ; PZ ; Animals -- Juvenile fiction ; Teachers -- Juvenile fiction ; Hunters -- Juvenile fiction ; Wealth -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Theft -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1888,Edward Sylvester Ellis,male,American,1840.0,1916.0,"Wikipedia, Wikidata",True,8
12641,59854,The Cask,"Crofts, Freeman Wills",PR,Browsing: Crime/Mystery; Browsing: Fiction,Murder -- Investigation -- Fiction ; Detective and mystery stories ; Police -- England -- Fiction ; PR,Public domain in the USA.,1920,Freeman Wills Crofts,male,"Irish, French",1879.0,1957.0,"Wikipedia, OpenLibrary",True,1
12642,59858,The Fairy Godmother-in-law,"Herford, Oliver",PS,Browsing: Humour; Browsing: Literature; Browsing: Poetry,"Fairy tales -- Poetry ; PS ; Humorous poetry, American",Public domain in the USA.,1789,Oliver Herford,male,"American, Anglo-American",1863.0,1935.0,"Wikipedia, OpenLibrary",True,8
12643,59860,The Golden Book of Springfield,"Lindsay, Vachel",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Springfield (Ill.) -- In literature ; Utopias in literature ; PS ; Springfield (Ill.) -- Fiction,Public domain in the USA.,1931,Vachel Lindsay,male,American,1879.0,1931.0,Wikipedia,True,4
12644,59864,The Silver Arrow,"Hubbard, Elbert",PS,Browsing: History - British; Browsing: Literature,"Dare, Virginia, 1587- ; PS ; Raleigh, Walter, Sir, 1552?-1618",Public domain in the USA.,1900,Elbert Hubbard,male,American,1856.0,1915.0,Wikipedia,True,4
12645,59873,The Sword of the King,"MacDonald, Ronald",PR,Browsing: History - British; Browsing: Literature; Browsing: Fiction,"Great Britain -- History -- Restoration, 1660-1688 -- Fiction ; PR",Public domain in the USA.,1900,Ronald MacDonald,male,Canada,1860.0,1933.0,"OpenLibrary, Wikidata",True,1
12646,59874,Around the End,"Barbour, Ralph Henry",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Boarding schools -- Juvenile fiction ; Football stories ; PZ,Public domain in the USA.,1926,Ralph Henry Barbour,male,American,1870.0,1944.0,"Wikipedia, OpenLibrary",True,4
12647,59893,The Charing Cross Mystery,"Fletcher, J. S. (Joseph Smith)",PR,Browsing: Culture/Civilization/Society; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,London (England) -- Social life and customs -- 20th century -- Fiction ; Lawyers -- Fiction ; Murder -- Investigation -- Fiction ; Detective and mystery stories ; PR,Public domain in the USA.,1923,Joseph Smith Fletcher,male,British,1863.0,1935.0,OpenLibrary,True,10
12648,59894,The Passing Throng,"Guest, Edgar A. (Edgar Albert)",PS,Browsing: Literature; Browsing: Poetry,American poetry -- 20th century ; PS,Public domain in the USA.,1923,Edgar Albert Guest,male,"British, American",1881.0,1959.0,Wikipedia,True,3
12649,59895,The Four Stragglers,"Packard, Frank L. (Frank Lucius)",PS,Browsing: Crime/Mystery; Browsing: History - Warfare; Browsing: Fiction,"World War, 1914-1918 -- Veterans -- Fiction ; Detective and mystery stories ; PS",Public domain in the USA.,1923,Frank Lucius Packard,male,Canadian,1877.0,1942.0,"Wikipedia, OpenLibrary, Wikidata",True,8
12650,59897,New Poems,"Roberts, Charles G. D., Sir",PS,Browsing: Literature; Browsing: Poetry,PS ; Canadian poetry -- 20th century,Public domain in the USA.,1875,"Charles G. D., Roberts",male,Canadian,1860.0,1943.0,Wikipedia,True,10
12651,59900,The Mud Larks,"Garstin, Crosbie",PR,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"PR ; World War, 1914-1918 -- Fiction",Public domain in the USA.,1919,Crosbie Garstin,male,British,1887.0,1930.0,"Wikipedia, Wikidata",True,1
12652,59902,Natalie Page,"Haviland-Taylor, Katharine",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Tomboys -- Fiction ; Families -- Fiction ; Love stories ; Orphans -- Fiction ; New York (N.Y.) -- Fiction ; PS ; Teenage girls -- Fiction,Public domain in the USA.,1921,Katharine Haviland-Taylor,female,American,1891.0,1941.0,Wikipedia,True,1
