,Published Year,Etext Number
978,1979,16404
979,1979,74239
980,1979,72645
981,1979,41333
982,1979,50592
983,1979,42451
984,1979,50458
985,1979,30659
986,1979,55907
987,1979,17775
988,1979,39542
989,1979,49122
990,1979,22252
991,1979,47633
992,1979,24182
993,1979,57102
994,1979,26657
995,1979,33409
996,1979,23754
997,1979,42544
998,1979,47577
999,1979,47927
1000,1979,44890
1001,1979,34591
1002,1979,64150
1003,1979,61105
1004,1979,67925
1005,1979,54255
1006,1979,51299
1007,1979,58897
1008,1979,68769
1009,1979,56618
1010,1979,29458
1011,1979,70670
1012,1979,52816
1013,1979,60391
1014,1979,40191
1015,1979,46946
1016,1979,372
1017,1979,37597
1018,1979,30003
1019,1979,52723
1020,1979,15843
1021,1979,32367
1022,1979,60757
1023,1979,57924
1024,1979,61774
1025,1979,37960
1026,1979,64703
1027,1979,70881
1028,1979,58117
1029,1979,42115
1030,1979,41109
1031,1979,52644
1032,1979,37738
1033,1979,53824
1034,1979,12383
1035,1979,65783
1036,1979,47701
1037,1979,63932
1038,1979,56502
1039,1979,53774
1040,1979,47995
1041,1979,73830
1042,1979,54719
1043,1979,51418
1044,1979,61931
1045,1979,54537
1046,1979,54223
1047,1979,20041
1048,1979,29438
1049,1979,55842
1050,1979,21508
1051,1979,14128
1052,1979,49403
1053,1979,36784
1054,1979,42716
1055,1979,69513
1056,1979,60572
1057,1979,70839
1058,1979,64464
1059,1979,51510
1060,1979,24582
1061,1979,59485
1062,1979,10033
1063,1979,58001
1064,1979,71944
1065,1979,57750
1066,1979,59658
1067,1979,71812
1068,1979,71496
1069,1979,54897
1070,1979,59694
1071,1979,25538
1072,1979,22956
1073,1979,38511
1074,1979,70708
1075,1979,17107
1076,1979,67650
1077,1979,73584
1078,1979,70822
1079,1979,35574
1080,1979,40286
1081,1979,33643
1082,1979,58732
1083,1979,70169
1084,1979,63506
1085,1979,54257
1086,1979,67322
1087,1979,64265
1088,1979,40621
1089,1979,75448
1090,1979,72300
1091,1979,23645
