,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
2011,"Dery, Desiderius George",Desiderius George Dery,,,1867.0,,OpenLibrary,True,1
2021,"Thomas, Rowland",Rowland Thomas,male,,1879.0,1698.0,"OpenLibrary, Wikidata",True,1
2023,"Field, George Blackstone",George Blackstone Field,,,1883.0,1952.0,OpenLibrary,True,1
2024,"Walsh, A. Stewart (Alexander Stewart)",Alexander Stewart Walsh,,,,,,False,1
2029,"Carr-Harris, Bertha",Bertha Carr-Harris,female,,1863.0,1949.0,"OpenLibrary, Wikidata",True,1
2030,"Cornford, Frances Darwin",Frances Darwin Cornford,,English,1886.0,1960.0,Wikipedia,True,1
2042,"Fyfe, H. B. (Horace Bowne)",Horace Bowne Fyfe,,,,,,False,1
2061,"Peacock, Wilbur S.",Wilbur S. Peacock,male,,1915.0,1979.0,Wikidata,True,1
2066,"Corbett, Julian Stafford",Julian Stafford Corbett,,,1854.0,1922.0,OpenLibrary,True,1
2070,"Demuth, Charles",Charles Demuth,,,1883.0,1935.0,OpenLibrary,True,1
2077,"Lacy, Ernest",Ernest Lacy,male,,1863.0,1916.0,"OpenLibrary, Wikidata",True,1
2081,"dePina, Albert",Albert dePina,,,,,,False,1
2084,"Goodman, Kenneth Sawyer",Kenneth Sawyer Goodman,male,,1883.0,1918.0,"OpenLibrary, Wikidata",True,1
2085,"Hammond, Lily Hardy",Lily Hardy Hammond,female,,1859.0,1925.0,"OpenLibrary, Wikidata",True,1
2086,"Pace, Tom",Tom Pace,,,,,,False,1
2099,"Beresford, Charles Edward de la Poer",Charles Edward de la Poer Beresford,male,,1850.0,1921.0,Wikidata,True,1
2104,"Furst, Clyde",Clyde Furst,,,1873.0,,OpenLibrary,True,1
2106," Thoits, Alvin T.",Alvin T. Thoits,,,,,,False,1
2110,"Moreton, Marshall",Marshall Moreton,,,1854.0,,OpenLibrary,True,1
2116,"Eldridge, George Dyre",George Dyre Eldridge,male,,1848.0,1928.0,"OpenLibrary, Wikidata",True,1
2122,"Davis, Oscar K. (Oscar King)",Oscar King Davis,male,,1866.0,,OpenLibrary,True,1
2129,"Carr, J. Comyns (Joseph Comyns)",Joseph Comyns Carr,,"British, English",1849.0,1916.0,"Wikipedia, OpenLibrary",True,1
2133,"Brinton, Howard Futhey",Howard Futhey Brinton,,,1872.0,,OpenLibrary,True,1
2135,"Henderson, Elliott Blaine",Elliott Blaine Henderson,,American,1938.0,,Wikipedia,True,1
2138,"Kittredge, Daniel Wright",Daniel Wright Kittredge,male,,1879.0,1958.0,OpenLibrary,True,1
2141,"Browne, George Waldo",George Waldo Browne,male,,1851.0,1930.0,"OpenLibrary, Wikidata",True,1
2164,"Carter, Nicholas (House name)",House name Carter,,,,,,False,1
2166,"McCreagh, Gordon",Gordon McCreagh,,,,,,False,1
2171,"Bradby, G. F. (Godfrey Fox)",Godfrey Fox Bradby,male,,1863.0,1947.0,"OpenLibrary, Wikidata",True,1
2173,"Edwards, Julia",Julia Edwards,,,,,,False,1
2186,"Stahl, Clarence Victor",Clarence Victor Stahl,,,1885.0,,OpenLibrary,True,1
2190,"MacCallum, Mungo William, Sir","Mungo William, MacCallum",male,,1854.0,1942.0,OpenLibrary,True,1
2193,"Seiler, George P.",George P. Seiler,,,,,,False,1
2206,"Hodder-Williams, J. E. (John Ernest) ",John Ernest Hodder-Williams,male,,1876.0,1927.0,"OpenLibrary, Wikidata",True,1
2214,"Roberts, William James",William James Roberts,male,,1873.0,1941.0,"OpenLibrary, Wikidata",True,1
2222,"Turner, George Frederic",George Frederic Turner,,,1876.0,,OpenLibrary,True,1
2232,"Staats, William",William Staats,,,1922.0,,OpenLibrary,True,1
