,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
44,"Ward, Humphry, Mrs.","Humphry, Ward",female,British,1851.0,1920.0,Wikipedia,True
45,"King, Charles",Charles King,male,American,1844.0,1933.0,OpenLibrary,True
46,"Orczy, Emmuska Orczy, Baroness","Emmuska Orczy, Orczy",female,"British, English, French",1865.0,1947.0,Wikipedia,True
47,"Smith, Francis Hopkinson",Francis Hopkinson Smith,male,American,1838.0,1915.0,Wikipedia,True
48,"Jacobs, W. W. (William Wymark)",William Wymark Jacobs,male,English,1863.0,1943.0,Wikipedia,True
49,"Burroughs, Edgar Rice",Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True
50,"Jerome, Jerome K. (Jerome Klapka)",Jerome Klapka Jerome,male,English,1859.0,1927.0,"Wikipedia, Wikidata",True
51,"Barr, Amelia E.",Amelia E. Barr,female,English,1831.0,1919.0,Wikipedia,True
52,"Curwood, James Oliver",James Oliver Curwood,male,American,1878.0,1927.0,"Wikipedia, OpenLibrary",True
53,"Hardy, Thomas",Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True
54,"Wilde, Oscar",Oscar Wilde,male,Irish,1854.0,1900.0,Wikipedia,True
55,"Lawrence, D. H. (David Herbert)",David Herbert Lawrence,male,English,1885.0,1930.0,OpenLibrary,True
56,"Page, Thomas Nelson",Thomas Nelson Page,male,American,1853.0,1922.0,"Wikipedia, OpenLibrary",True
57,"Bierce, Ambrose",Ambrose Bierce,male,American,1842.0,1914.0,Wikipedia,True
58,"Atherton, Gertrude Franklin Horn",Gertrude Franklin Horn Atherton,female,American,1857.0,1948.0,Wikipedia,True
59,"Bellamy, Edward",Edward Bellamy,male,American,1850.0,1898.0,Wikipedia,True
60,"Van Dyke, Henry",Henry Van Dyke,male,American,1852.0,1933.0,"Wikipedia, OpenLibrary",True
61,"Barrie, J. M. (James Matthew)",James Matthew Barrie,male,Scottish,1860.0,1937.0,Wikipedia,True
62,"Locke, William John",William John Locke,male,British,1863.0,1930.0,Wikipedia,True
63,"Tracy, Louis",Louis Tracy,male,British,1863.0,1928.0,"Wikipedia, OpenLibrary",True
64,"Stockton, Frank R.",Frank R. Stockton,male,American,1834.0,1902.0,"Wikipedia, Wikidata",True
65,"Freeman, Mary Eleanor Wilkins",Mary Eleanor Wilkins Freeman,female,American,1852.0,1930.0,Wikipedia,True
66,"Butler, Ellis Parker",Ellis Parker Butler,male,American,1869.0,1937.0,Wikipedia,True
67,"MacGrath, Harold",Harold MacGrath,male,American,1871.0,1932.0,"Wikipedia, OpenLibrary",True
68,"Barr, Robert",Robert Barr,male,"Canadian, British",1849.0,1912.0,OpenLibrary,True
69,"Holmes, Mary Jane",Mary Jane Holmes,female,"American, English",1825.0,1907.0,"Wikipedia, OpenLibrary",True
70,"Nicholson, Meredith",Meredith Nicholson,male,American,1866.0,1947.0,"Wikipedia, OpenLibrary, Wikidata",True
71,"Maugham, W. Somerset (William Somerset)",William Somerset Maugham,male,English,1874.0,1965.0,Wikipedia,True
72,"Rinehart, Mary Roberts",Mary Roberts Rinehart,female,American,1876.0,1958.0,Wikipedia,True
73,"Phillips, David Graham",David Graham Phillips,female,American,1867.0,1911.0,"Wikipedia, OpenLibrary",True
74,"Gissing, George",George Gissing,male,English,1892.0,1903.0,Wikipedia,True
75,"Wodehouse, P. G. (Pelham Grenville)",Pelham Grenville Wodehouse,male,English,1881.0,1975.0,Wikipedia,True
76,"Corelli, Marie",Marie Corelli,female,English,1855.0,1924.0,Wikipedia,True
77,"Phillpotts, Eden",Eden Phillpotts,male,English,1862.0,1960.0,Wikipedia,True
78,"Lynde, Francis",Francis Lynde,male,American,1856.0,1930.0,"Wikipedia, OpenLibrary",True
79,"Tarkington, Booth",Booth Tarkington,male,American,1869.0,1946.0,Wikipedia,True
80,"Burnett, Frances Hodgson",Frances Hodgson Burnett,female,British-American,1849.0,1924.0,"Wikipedia, OpenLibrary",True
81,"Bacheller, Irving",Irving Bacheller,male,American,1859.0,1950.0,"Wikipedia, OpenLibrary",True
82,"Wilcox, Ella Wheeler",Ella Wheeler Wilcox,female,American,1850.0,1919.0,Wikipedia,True
83,"Blackwood, Algernon",Algernon Blackwood,male,English,1869.0,1951.0,Wikipedia,True
84,"Catherwood, Mary Hartwell",Mary Hartwell Catherwood,female,American,1847.0,1902.0,"Wikipedia, OpenLibrary",True
85,"Seawell, Molly Elliot",Molly Elliot Seawell,female,"American, English",1860.0,1916.0,Wikipedia,True
86,"Farjeon, B. L. (Benjamin Leopold)",Benjamin Leopold Farjeon,male,English,1838.0,1903.0,Wikipedia,True
87,"Collins, Wilkie",Wilkie Collins,female,English,1824.0,1889.0,Wikipedia,True
88,"Grey, Zane",Zane Grey,male,American,1872.0,1939.0,Wikipedia,True
89,"Lang, Andrew",Andrew Lang,male,Scottish,1844.0,1912.0,Wikipedia,True
90,"Caine, Hall, Sir","Hall, Caine",male,British,1853.0,1931.0,Wikipedia,True
91,"Holmes, Oliver Wendell",Oliver Wendell Holmes,male,United States,1809.0,1894.0,"OpenLibrary, Wikidata",True
92,"Allen, Grant",Grant Allen,male,Canadian,1848.0,1899.0,Wikipedia,True
93,"Benson, Arthur Christopher",Arthur Christopher Benson,male,English,1862.0,1925.0,Wikipedia,True
94,"Glyn, Elinor",Elinor Glyn,female,British,1864.0,1943.0,Wikipedia,True
95,"Parrish, Randall",Randall Parrish,male,American,1858.0,1923.0,"Wikipedia, OpenLibrary, Wikidata",True
96,"Churchill, Winston",Winston Churchill,male,British,1874.0,1965.0,Wikipedia,True
97,"Le Gallienne, Richard",Richard Le Gallienne,male,"British, English, British-American",1899.0,1991.0,Wikipedia,True
98,"White, Stewart Edward",Stewart Edward White,male,American,1873.0,1946.0,Wikipedia,True
99,"Cobb, Irvin S. (Irvin Shrewsbury)",Irvin Shrewsbury Cobb,male,American,1876.0,1944.0,Wikipedia,True
100,"Roe, Edward Payson",Edward Payson Roe,male,American,1838.0,1888.0,"Wikipedia, OpenLibrary, Wikidata",True
