,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
40,"Kingsley, Charles",7,18,"{(1860, 'Westward Ho! Or, The Voyages and Adventures of Sir Amyas Leigh, Knight, of Burrough, in the County of Devon, in the Reign of Her Most Glorious Majesty Queen Elizabeth'): 3, (6308, 'Hypatia — or New Foes with an Old Face'): 4, (7032, 'Prose Idylls, New and Old'): 2, (7815, 'Hereward, the Last of the English'): 1, (10364, 'Yeast: a Problem'): 2, (10920, 'Two Years Ago, Volume I'): 5, (11064, 'Andromeda, and Other Poems'): 1}",5,male,English,3
41,"Gerberding, Elizabeth",1,18,"{(66628, ""The Golden Chimney: A Boy's Mine""): 18}",18,female,United States,1
42,"Harte, Bret",12,18,"{(1312, 'Selected Stories of Bret Harte'): 3, (2178, 'By Shore and Sedge'): 1, (2277, 'Condensed Novels'): 2, (2297, ""Snow-Bound at Eagle's""): 1, (2555, 'Under the Redwoods'): 2, (2556, ""Mr. Jack Hamlin's Mediation""): 1, (2597, ""Mrs. Skagg's Husbands and Other Stories""): 1, (2703, 'The Argonauts of North Liberty'): 1, (2784, ""Colonel Starbottle's Client""): 1, (2862, 'The Twins of Table Mountain, and Other Stories'): 1, (6373, 'The Luck of Roaring Camp and Other Tales\r\nWith Condensed Novels, Spanish and American Legends, and Earlier Papers'): 1, (36336, 'Gabriel Conroy'): 3}",3,male,American,33
43,"Le Fanu, Joseph Sheridan",5,18,"{(9983, ""Wylder's Hand""): 3, (10007, 'Carmilla'): 1, (14851, 'Uncle Silas: A Tale of Bartram-Haugh'): 8, (35467, 'The Tenants of Malory, Volume 1'): 2, (68569, 'The Wyvern mystery'): 4}",8,male,Irish,6
44,"Henry, O.",7,18,"{(1444, 'The Voice of the City: Further Stories of the Four Million'): 1, (1646, 'Roads of Destiny'): 3, (2141, 'Strictly Business: More Stories of the Four Million'): 4, (2776, 'The Four Million'): 2, (2777, 'Cabbages and Kings'): 1, (2851, 'Sixes and Sevens'): 3, (61701, 'O. Henry Encore'): 4}",4,male,American,13
45,"Atherton, Gertrude Franklin Horn",8,18,"{(6884, 'Sleeping Fires: a Novel'): 1, (13246, 'The Conqueror: Being the True and Romantic Story of Alexander Hamilton'): 2, (14256, 'The Bell in the Fog and Other Stories'): 7, (21903, 'The Californians'): 2, (31858, 'Ancestors: A Novel'): 2, (56340, 'Tower of Ivory: A Novel'): 1, (65310, 'The Crystal Cup'): 1, (68222, 'His fortunate Grace'): 2}",7,female,American,19
46,"Holley, Marietta",6,17,"{(18091, ""Samantha at the World's Fair""): 1, (30190, ""Around the World with Josiah Allen's Wife""): 10, (55594, ""My Opinions and Betsey Bobbet's\r\nDesigned as a Beacon Light to Guide Women to Life, Liberty, and the Pursuit of Happiness, But Which May Be Read by Members of the Sterner Sect, without Injury to Themselves or the Book""): 1, (59271, 'Betsey Bobbett: A Drama'): 1, (64621, ""Josiah Allen's Wife as a P. A. and P. I.: Samantha at the Centennial.\r\nDesigned As a Bright and Shining Light, to Pierce the Fogs of Error and Injustice That Surround Society and Josiah, and to Bring More Clearly to View the Path That Leads Straight on to Virtue and Happiness.""): 3, (66411, 'Samantha Among the Colored Folks: ""My Ideas on the Race Problem""'): 1}",10,female,American,12
47,"Galsworthy, John",7,17,"{(2192, 'The Dark Flower'): 1, (2309, 'The Freelands'): 2, (2639, 'Villa Rubein, and Other Stories'): 2, (2683, ""Saint's Progress""): 1, (2774, 'The Patrician'): 1, (3254, 'Complete Project Gutenberg John Galsworthy Works'): 9, (29711, 'Another Sheaf'): 1}",9,male,English,29
48,"Wilde, Oscar",10,17,"{(174, 'The Picture of Dorian Gray'): 5, (301, 'The Ballad of Reading Gaol'): 1, (854, 'A Woman of No Importance'): 1, (873, 'A House of Pomegranates'): 2, (885, 'An Ideal Husband'): 1, (887, 'Intentions'): 2, (1141, 'Selected Poems of Oscar Wilde'): 1, (4078, 'The Picture of Dorian Gray'): 2, (14240, 'Reviews'): 1, (26740, 'The Picture of Dorian Gray'): 1}",5,male,Irish,19
49,"Thorne, Guy",5,16,"{(37270, 'The City in the Clouds'): 11, (40361, 'The Air Pirate'): 1, (40571, 'The Angel'): 1, (41178, '""I Believe"" and other essays'): 2, (41829, 'The Serf'): 1}",11,male,English,8
50,"Chesterton, G. K. (Gilbert Keith)",9,16,"{(204, 'The innocence of Father Brown'): 3, (1695, 'The Man Who Was Thursday: A Nightmare'): 1, (1696, 'The Club of Queer Trades'): 2, (2015, 'A Miscellany of Men'): 1, (9656, 'Alarms and Discursions'): 2, (12491, 'Twelve Types'): 1, (18639, 'The Victorian Age in Literature'): 3, (20058, 'The Napoleon of Notting Hill'): 1, (68682, 'Charles Dickens: A critical study'): 2}",3,male,English,28
51,"Merwin, Samuel",3,16,"{(51974, 'In Red and Gold'): 9, (52507, 'Anthony the Absolute'): 2, (53997, 'Hills of Han: A Romantic Incident'): 5}",9,male,United States,7
